常見問答範例,回覆訊息
泰國 eSIM / 曼谷 eSIM / 清邁 eSIM / 泰國上網 / 我要去泰國 / 去泰國 / 泰國 esim / 泰國esim / 泰國 SIM / 泰國sim / 泰國上網卡 / 我想問泰國 / 我想請問泰國 / 我想請泰國 / 請問泰國 / 泰國上網方案,"旅伴您好～泰國旅遊可以選擇 Jeko eSIM 🇹🇭

請回覆您的旅遊天數與使用需求，我會幫您挑適合方案。

例如：
「泰國 5 天，一般滑 LINE 和地圖」
「泰國 7 天，需要開熱點」"
泰國 3 天 / 泰國三天 / 泰國3天 / 泰國 5 天 / 泰國五天 / 泰國5天 / 泰國 7 天 / 泰國七天 / 泰國7天,"旅伴您好～泰國 eSIM 方案 🇹🇭

請再告訴我使用習慣、是否需要熱點，以及手機型號，我會依天數幫您建議。

若需立即協助，請回覆「我要找客服」。"
香港 eSIM / 我要去香港 / 香港上網 / 去香港 / 香港 esim / 香港esim / 香港 SIM,"旅伴您好～香港旅遊可以使用 Jeko eSIM 🇭🇰

請回覆旅遊天數、使用習慣與手機型號，我會幫您建議適合方案。"
馬來西亞 eSIM / 吉隆坡 eSIM / 馬來西亞上網 / 去馬來西亞 / 馬來西亞 esim / 馬來西亞esim,"旅伴您好～馬來西亞旅遊可以使用 Jeko eSIM 🇲🇾

請回覆旅遊天數、使用習慣與手機型號，我會幫您建議適合方案。"
歐洲 eSIM / 多國 eSIM / 東南亞 eSIM / 全球 eSIM / 轉機多國可以用嗎 / 多國漫遊 / 跨國 eSIM / 一次去多國,"旅伴您好～如果您會前往多個國家，建議選擇區域型或多國 eSIM。

請提供：
1. 會去哪些國家
2. 每個國家停留天數
3. 是否需要熱點或大量流量

我會協助您確認適合單國方案，還是多國/區域方案。"
價格 / 多少錢 / 費用 / 報價 / 怎麼收費 / 方案價格 / 最便宜 / 有優惠嗎,"旅伴您好～eSIM 價格會依國家、天數、流量與電信方案而不同。

請回覆：
1. 目的地（例如：日本、韓國）
2. 出國天數
3. 使用習慣（一般 / 看影片 / 熱點）

我會依您的需求協助建議。若需報價，也可回覆「我要找客服」。"
吃到飽 / 無限流量 / 不限流量 / unlimited / 流量吃到飽 / 日本吃到飽 / 韓國吃到飽,"旅伴您好～部分國家有提供吃到飽或高速流量較大的方案。

請告訴我：
1. 目的地
2. 出國天數
3. 是否會長時間看影片或開熱點

我會依需求協助建議適合方案。"
我要買幾 GB / 流量怎麼選 / 幾 GB 夠用 / 需要多少流量 / 流量推薦 / 流量怎麼估 / 一天要多少流量,"旅伴您好～可以用這個方式估算：

一般使用：LINE、地圖、查資料，約每日 1GB～2GB。
中度使用：IG、短影片、查路線，約每日 2GB～3GB。
重度使用：YouTube、熱點、工作，建議選較高流量或吃到飽。

也可以回覆「國家＋天數＋使用習慣」，我幫您估。"
eSIM 是什麼 / 什麼是 eSIM / esim 介紹 / 跟 sim 卡差別 / 實體卡還是 esim,"旅伴您好～eSIM 是嵌入在手機內的數位 SIM，不用換實體卡就能使用當地網路。

優點：
1. 出國前可先安裝
2. 保留原本台灣門號接電話
3. 付款後通常可快速收到 QR Code

使用前請確認手機支援 eSIM 且無電信鎖。"
怎麼買 / 如何購買 / 購買流程 / 下單方式 / 哪裡買 / 想買 esim / 我要買,"旅伴您好～購買 Jeko eSIM 很簡單：

1. 告訴我目的地與天數（例如：日本 5 天）
2. 我們協助確認適合方案
3. 完成付款後，Email 會收到 QR Code 與安裝資訊

請先回覆「國家＋天數＋使用習慣」，或輸入「我要找客服」由專人協助。"
我的手機可以用嗎 / 支援 eSIM 嗎 / 手機支援嗎 / 怎麼看能不能用 eSIM / 手機能不能用 / 支援嗎,"旅伴您好～使用前要確認兩件事：
1. 手機支援 eSIM
2. 手機沒有電信鎖

最快檢查方式：撥打 *#06#，如果畫面出現 EID，通常代表支援 eSIM。

也可以回覆您的手機型號，我幫您初步確認。"
iPhone 可以用嗎 / iPhone 支援 eSIM 嗎 / iPhone 13 可以用嗎 / iPhone 15 可以用嗎 / iPhone 14 / iPhone 16 / 蘋果可以用嗎 / 愛瘋,"旅伴您好～多數 iPhone XS、XR 之後的機型支援 eSIM。

您也可以到：
設定 ＞ 行動服務 ＞ 看是否有「加入 eSIM」。

提醒：部分中國、香港、澳門版本 iPhone 可能不支援 eSIM，建議下單前先確認設定內是否有「加入 eSIM」。"
Android 可以用嗎 / 三星可以用嗎 / Pixel 可以用嗎 / 小米可以用嗎 / OPPO 可以用嗎 / 安卓 / Samsung / 華為,"旅伴您好～Android 是否支援 eSIM 會依品牌、型號與地區版本而不同。

可以先撥打 *#06#，若出現 EID，通常代表支援 eSIM。

也可以查看：設定 ＞ SIM 卡管理員 / 網路與網際網路 ＞ 是否有「新增 eSIM」。"
手機有電信鎖嗎 / carrier lock / SIM 鎖 / 電信鎖 / 要解鎖嗎 / 綁約 / 電信綁定,"旅伴您好～eSIM 需要手機支援 eSIM，且手機不能被電信商鎖定。

iPhone 可到：設定 ＞ 一般 ＞ 關於本機 ＞ 電信業者鎖定。
如果顯示「沒有 SIM 卡限制」，通常代表已解鎖。

Android 可插入不同電信商 SIM 測試，或詢問原購買電信商。"
付款後多久收到 / eSIM 什麼時候寄 / QR Code 什麼時候收到 / 付款後沒收到 / 多久會收到 / 寄信時間,"旅伴您好～一般付款完成後，系統會產生 eSIM 資訊，包含 QR Code、SM-DP+ 位址、啟用碼或 ICCID 等資料。

若尚未收到，請先查看：
1. Email 是否填寫正確
2. 垃圾郵件 / 促銷郵件匣
3. 訂單是否付款成功

找不到的話，請提供訂單編號與 Email。"
訂單查詢 / 查訂單 / 訂單編號 / 我買的方案 / 查 eSIM / 我的訂單 / 訂單狀態,"旅伴您好～可以的，請提供您的訂單編號與購買時填寫的 Email。

我會協助您查詢：
1. 訂單是否成立
2. eSIM 是否已產生
3. 安裝資訊是否可重新寄送
4. 是否需要轉人工客服處理"
Email 寫錯 / 信箱填錯 / QR Code 寄錯信箱 / 收不到信 / 信箱打錯 / 郵件沒收到,"旅伴您好～如果 Email 填錯，請先提供：
1. 訂單編號
2. 原本填寫的 Email
3. 正確 Email
4. 購買姓名或付款資訊截圖

我們會協助確認是否能重新寄送。提醒您，eSIM 是數位商品，若已寄出並被使用，處理方式會依訂單狀態判斷。"
怎麼安裝 / 如何安裝 eSIM / eSIM 安裝教學 / QR Code 怎麼用 / 安裝方式 / 怎麼設定 esim,"旅伴您好～安裝 eSIM 建議在穩定 Wi-Fi 環境下操作。

一般流程：
1. 打開手機設定
2. 選擇行動服務 / SIM 卡管理員
3. 點選加入 eSIM
4. 掃描 QR Code 或手動輸入 SM-DP+ 與啟用碼
5. 抵達目的地後，選擇此 eSIM 作為行動數據並開啟數據漫遊"
iPhone 安裝 / iPhone 怎麼加 eSIM / 蘋果 eSIM 教學 / iOS 安裝 / 愛瘋安裝,"旅伴您好～iPhone 可這樣安裝：

1. 設定 ＞ 行動服務
2. 點選「加入 eSIM」
3. 選擇「使用 QR Code」
4. 掃描訂單信中的 QR Code
5. 依畫面完成安裝

安裝完成後，抵達目的地再將行動數據切到 Jeko eSIM，並開啟數據漫遊。"
Android 安裝 / 三星安裝 / Pixel 安裝 / Android 怎麼加 eSIM / 安卓安裝,"旅伴您好～Android 可依品牌略有不同：

Samsung：設定 ＞ 連線 ＞ SIM 卡管理員 ＞ 新增 eSIM。
Pixel：設定 ＞ 網路和網際網路 ＞ SIM ＞ 新增 eSIM。

接著掃描 QR Code，或手動輸入 SM-DP+ 位址與啟用碼。"
QR Code 掃不到 / QR Code 無法掃描 / 掃描失敗 / 無法加入 eSIM / 掃不了 / QR 失效,"旅伴您好～如果 QR Code 掃不到，可以改用手動安裝。

請在手機的加入 eSIM 畫面選擇「手動輸入詳細資訊」，輸入訂單信中的：
1. SM-DP+ 位址
2. Activation Code / 啟用碼

輸入時請不要多打空格或符號。"
SM-DP 是什麼 / Activation Code 是什麼 / 手動輸入 / 手動安裝 / 啟用碼 / SM-DP+ / activation code,"旅伴您好～SM-DP+ 位址與 Activation Code 是手動安裝 eSIM 時會用到的資料。

如果 QR Code 無法掃描，可以在「加入 eSIM」流程中選擇手動輸入，將訂單信中的 SM-DP+ 位址與啟用碼貼上。

請注意不要複製到多餘空格。"
出國前可以先裝嗎 / 什麼時候安裝 / 要到當地才能裝嗎 / 可以提前安裝嗎 / 出發前裝 / 先裝可以嗎,"旅伴您好～通常可以在出國前先安裝 eSIM。

建議：
出國前 1 天：先在 Wi-Fi 環境完成安裝。
抵達目的地後：再把行動數據切到 Jeko eSIM，並開啟數據漫遊。

部分方案規則不同，仍以商品頁與訂單說明為準。"
什麼時候開始算 / 天數怎麼算 / 會提早啟用嗎 / 什麼時候啟用 / 有效期 / 方案天數,"旅伴您好～多數方案會在您啟用 eSIM、開啟數據漫遊並連上當地網路後開始計算天數，而不是單純安裝時就開始。

但不同方案可能有不同規則，請以商品頁與訂單說明為準。

如果您已購買，可提供訂單編號，我們幫您確認。"
到了當地要怎麼開 / 抵達後怎麼用 / 到日本怎麼開網路 / 開啟數據漫遊 / 到了怎麼用 / 落地怎麼開,"旅伴您好～抵達目的地後請確認：

1. 已開啟 Jeko eSIM 線路
2. 行動數據選擇 Jeko eSIM
3. 開啟此 eSIM 的數據漫遊
4. 原本台灣門號可視需求關閉數據漫遊
5. 等待 1～2 分鐘，必要時重新開機

若仍無法上網，請傳設定截圖給我們。"
可以重複掃 QR Code 嗎 / 可以給兩支手機用嗎 / 一個 QR Code 可以多人用嗎 / 兩台手機 / 共用 QR,"旅伴您好～不行喔。

eSIM QR Code 通常只能綁定並啟用在一台裝置上，不能給多支手機重複掃描使用。

如果同行旅伴也需要上網，建議另外購買一組 eSIM，或確認方案是否支援熱點分享。"
刪掉 eSIM / 不小心刪除 / eSIM 可以重裝嗎 / 換手機可以用嗎 / 刪除了 / 重裝,"旅伴您好～請先不要刪除 eSIM。

多數 eSIM 一旦從手機刪除，可能無法重新安裝，也通常不能任意轉移到另一支手機。

如果您已刪除或需要換手機，請提供訂單編號與狀況，我們會協助確認是否能處理。"
可以開熱點嗎 / 熱點分享 / 能分享網路嗎 / 筆電可以連嗎 / 分享給朋友 / tethering,"旅伴您好～是否可以開熱點會依不同國家與方案而定。

部分方案支援熱點分享，部分方案可能有限制。

如果您需要給筆電、平板或同行旅伴使用，建議購買前先提供「國家＋天數＋是否需要熱點」，我們幫您確認適合方案。"
怎麼查流量 / 剩餘流量 / ICCID 查流量 / 流量用量 / 方案剩多少 / 查剩餘 / 流量查詢,"旅伴您好～可以使用 eSIM 資訊中的 ICCID 查詢方案狀態與流量。

如果您找不到 ICCID，請先查看訂單信或 eSIM 詳細資料。

提醒：流量查詢可能不是即時更新，通常會有 30 分鐘到數小時延遲，實際用量也可參考手機內建流量統計。"
流量用完怎麼辦 / 可以加購嗎 / 可以續流量嗎 / 可以延長嗎 / 流量不夠 / 加買流量,"旅伴您好～目前多數 eSIM 方案無法直接續流量或延長原方案。

如果流量快用完，通常需要重新購買一組新的 eSIM 方案，或依商品頁是否提供加購/升級功能為準。

請告訴我您的國家與剩餘天數，我幫您建議。"
吃到飽會降速嗎 / 無限流量會限速嗎 / FUP 是什麼 / 網速變慢 / 降速 / 速度變慢,"旅伴您好～部分吃到飽方案可能有公平使用原則，也就是短時間大量使用後，電信商可能暫時降速。

也有些方案是「高速流量用完後仍可上網，但速度降低」。

若您會長時間看影片、下載或開熱點，建議購買前先告訴我們需求。"
可以打電話嗎 / 可以收簡訊嗎 / 有電話號碼嗎 / 能不能通話 / 可以收銀行簡訊嗎 / 有門號嗎,"旅伴您好～多數旅遊 eSIM 主要提供上網流量，不一定包含電話號碼、通話或簡訊。

您可以用 LINE、WhatsApp、Messenger、FaceTime、Skype 等網路通話。

如果您需要收銀行簡訊或當地門號，購買前請先告訴我們，我們幫您確認是否有適合方案。"
WhatsApp 會不見嗎 / WhatsApp 號碼會變嗎 / LINE 會變嗎 / line 帳號 / whatsapp 帳號,"旅伴您好～使用旅遊 eSIM 上網，通常不會讓您的 WhatsApp 或 LINE 帳號消失。

它主要只是提供網路連線，您仍可使用原本的 WhatsApp、LINE、Messenger 等 App。

安裝時若手機詢問通話/簡訊預設線路，建議保留原本門號。"
eSIM 連不上 / 沒網路 / 無法上網 / 不能用 / 沒訊號 / 連不上網 / 上不了網,"旅伴您好～不用擔心，我們一步一步排除。

請先確認：
1. 已抵達可使用國家
2. eSIM 線路已開啟
3. 行動數據選到 Jeko eSIM
4. 已開啟數據漫遊
5. 手機重新開機一次

請回覆手機型號、所在國家/城市與設定截圖，我們幫您判斷。"
有訊號不能上網 / 有 4G 但不能用 / 有 5G 但沒網路 / 有格子沒網路 / 有訊號沒網路,"旅伴您好～如果有訊號但不能上網，請先檢查：

1. 行動數據是否選到 Jeko eSIM
2. 此 eSIM 的數據漫遊是否開啟
3. 是否需要設定 APN
4. 是否重新開機
5. 是否手動選擇正確電信商

請提供手機型號與所在國家，我們幫您確認下一步。"
無服務 / 搜不到網路 / SOS / 沒有訊號 / 一直搜尋中 / 顯示無服務,"旅伴您好～如果顯示無服務或 SOS，請先確認：

1. 是否已抵達方案支援國家
2. eSIM 是否已開啟
3. 數據漫遊是否已開啟
4. 是否重開機
5. 是否改成手動選擇電信商

若仍無法連線，請提供設定截圖與所在城市。"
要選哪個電信商 / 手動選網 / 自動選網失敗 / network selection / 選電信 / 選網路,"旅伴您好～手機通常會自動連到合適電信商，但有時可能選錯網路。

您可以到行動網路設定中關閉「自動選擇網路」，等待清單出現後，選擇方案頁或訂單資訊指定的電信商。

若不確定要選哪家，請提供國家與訂單編號，我們幫您確認。"
APN 怎麼設定 / 要輸入 APN 嗎 / APN 是什麼 / APN 設定 / apn,"旅伴您好～部分方案會自動帶入 APN，部分方案需要手動設定。

如果訂單信有提供 APN，請輸入正確 APN 值；名稱可自訂，帳號密碼通常不用填。

如果您有訊號但無法上網，請提供訂單編號、手機型號與所在國家，我們幫您確認。"
QR Code 遺失 / QR Code 不見 / 找不到安裝信 / eSIM 資料不見 / 信不見了,"旅伴您好～如果找不到 QR Code 或安裝資訊，請先確認 Email、垃圾郵件匣與訂單頁。

仍找不到的話，請提供：
1. 訂單編號
2. 購買 Email
3. 購買姓名或付款截圖

我們會協助確認是否能重新寄送安裝資訊。"
可以退款嗎 / 買錯可以退嗎 / 不用了可以退嗎 / 退費 / 取消訂單 / 退款 / 能退嗎,"旅伴您好～eSIM 是數位商品，退款會依訂單狀態、是否已產生、是否安裝或啟用而定。

若尚未安裝、尚未啟用，較有機會協助處理。
若已安裝、啟用、使用或逾期，可能無法退款。

請提供訂單編號與退款原因，我們幫您確認。"
手機不支援可以退嗎 / 買了才發現不能用 / device incompatible / 不支援退費,"旅伴您好～購買前需先確認手機支援 eSIM 並且無電信鎖。

如果購買後才發現手機不支援，是否能退款會依訂單狀態與供應商規則判斷，可能會有處理費或部分退款。

請提供訂單編號、手機型號與設定截圖，我們幫您確認。"
網路不能用可以退款嗎 / 連不上可以退嗎 / 沒有網路要退費 / 不能用退錢,"旅伴您好～如果是網路連線問題，請先讓我們協助排除。

為了加快處理，請提供：
1. 訂單編號
2. 手機型號
3. 所在國家/城市
4. eSIM 設定截圖
5. 無法連線畫面

若確認無法排除，會再依退款規則協助處理。"
為什麼還在處理中 / eSIM 還沒產生 / 訂單卡住 / 沒有 QR Code / 一直處理中 / 還沒收到 QR,"旅伴您好～有時付款完成後，系統需要一些時間產生 eSIM 安裝資訊。

請先確認 Email 與訂單頁是否已有 QR Code、SM-DP+、啟用碼或 ICCID。

如果超過一段時間仍未產生，請提供訂單編號與 Email，我們會轉人工客服協助查詢。"
方案資訊在哪 / ICCID 在哪 / QR Code 在哪 / Activation Code 在哪 / 安裝資訊在哪,"旅伴您好～eSIM 資訊通常會出現在訂單信或訂單頁，常見資料包含：

1. QR Code
2. SM-DP+ 位址
3. Activation Code / 啟用碼
4. ICCID
5. APN 或電信商資訊

如果找不到，請提供訂單編號與 Email，我們協助查詢。"
我要找客服 / 真人客服 / 人工客服 / 找人 / 客服人員 / 轉人工 / 線上客服 / 聯絡客服,"旅伴您好～我先幫您轉交給 Jeko 客服人員處理。

為了加快協助速度，請先提供：
1. 訂單編號
2. 手機型號
3. 目前所在國家/城市
4. 遇到的問題
5. 相關截圖

客服人員看到後會盡快回覆您 🙌"
緊急 / 現在在國外不能用 / 旅途中沒網路 / 很急 / 馬上要用 / 急 / 趕時間,"旅伴您好～了解您現在急需上網，我們先幫您快速排除。

請直接回覆：
1. 訂單編號
2. 手機型號
3. 所在國家/城市
4. 畫面顯示：無服務 / 有訊號但不能上網
5. 設定畫面截圖

收到後會優先協助判斷。"
找不到回答 / 看不懂 / 無法回答 / 沒有答案 / 可以再說一次嗎 / 什麼意思,"旅伴您好～抱歉，我可能沒有完全理解您的問題 😊

您可以試試這樣問：
「日本 eSIM」
「日本 5 天」
「手機可以用嗎」
「如何安裝」
「我要找客服」

或直接描述您的狀況，我們會盡力協助。"
esim / eSIM / ESIM / 上網卡 / 旅遊上網 / 出國上網 / 漫遊 / 海外上網,"旅伴您好～Jeko eSIM 提供海外旅遊上網方案 🌏

請告訴我：
1. 目的地（例如：日本、韓國、泰國）
2. 出國天數
3. 使用習慣（LINE、地圖、IG、影片、熱點）

也可以直接輸入「我要找客服」，由專人協助您。"
